                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.89808,                 1.0476,                0.54675,                 0.8987,                0.91838,                0.89076,                0.96526,                0.78084,                0.91802,                0.87662,                0.95283,                0.60543,                0.69063,                0.86639,                0.42936,                0.85357,               0.004357,               0.004357,               0.004357
                     59,                0.89214,                 1.0373,                0.54577,                0.89658,                0.91903,                0.89109,                0.96561,                 0.7821,                0.91791,                 0.8768,                0.95291,                0.60557,                0.68806,                0.86394,                0.42782,                0.85283,               0.004258,               0.004258,               0.004258
                     60,                0.89015,                 1.0384,                0.54315,                0.89795,                 0.9188,                0.89231,                0.96595,                 0.7829,                0.91719,                0.87766,                 0.9533,                0.60538,                0.68686,                0.86245,                0.42686,                 0.8525,               0.004159,               0.004159,               0.004159
                     61,                0.89143,                 1.0365,                 0.5406,                 0.8977,                 0.9194,                0.89246,                0.96624,                0.78403,                0.91755,                0.87761,                0.95355,                0.60572,                 0.6845,                0.86036,                 0.4255,                0.85185,                0.00406,                0.00406,                0.00406
                     62,                  0.882,                 1.0273,                0.53677,                0.89585,                0.91909,                0.89296,                0.96672,                0.78495,                0.91738,                0.87841,                0.95395,                0.60602,                0.68231,                0.85755,                0.42419,                0.85114,               0.003961,               0.003961,               0.003961
                     63,                0.87855,                 1.0184,                0.53181,                0.89594,                0.91894,                0.89359,                0.96701,                0.78625,                0.91819,                0.87864,                0.95414,                0.60659,                0.67999,                0.85424,                0.42247,                0.85057,               0.003862,               0.003862,               0.003862
                     64,                0.87288,                 1.0159,                0.53021,                0.89461,                0.92007,                0.89384,                0.96745,                0.78769,                0.91901,                0.87889,                0.95439,                0.60746,                0.67731,                 0.8497,                0.42054,                0.84992,               0.003763,               0.003763,               0.003763
                     65,                0.87175,                 1.0147,                0.52915,                0.89311,                0.92141,                0.89491,                0.96801,                0.78909,                0.92038,                   0.88,                0.95508,                0.60811,                0.67454,                0.84491,                0.41845,                0.84916,               0.003664,               0.003664,               0.003664
                     66,                0.86817,                 1.0049,                0.52694,                0.89283,                0.92336,                0.89403,                0.96823,                0.78978,                0.91955,                0.88054,                0.95526,                0.60809,                0.67306,                0.84222,                0.41764,                0.84887,               0.003565,               0.003565,               0.003565
                     67,                 0.8636,                 1.0023,                0.52364,                0.89289,                  0.924,                0.89513,                0.96862,                0.79105,                0.92032,                0.88133,                0.95567,                0.60849,                0.67145,                0.83898,                0.41628,                0.84848,               0.003466,               0.003466,               0.003466
                     68,                0.85838,                0.99493,                0.52181,                0.89145,                0.92398,                  0.895,                0.96885,                0.79182,                0.92158,                0.87974,                0.95565,                0.60792,                0.67066,                0.83743,                0.41543,                0.84832,               0.003367,               0.003367,               0.003367
                     69,                0.85724,                0.99448,                0.51808,                0.89032,                0.92349,                0.89568,                0.96907,                0.79265,                0.92204,                0.87926,                0.95571,                0.60813,                0.66915,                0.83483,                0.41422,                  0.848,               0.003268,               0.003268,               0.003268
                     70,                0.85323,                0.99324,                0.51664,                0.88865,                0.92363,                 0.8962,                0.96937,                0.79331,                0.92298,                0.87976,                0.95608,                0.60833,                0.66756,                0.83232,                0.41321,                0.84762,               0.003169,               0.003169,               0.003169
                     71,                0.84651,                0.97821,                0.51596,                0.88824,                0.92372,                0.89705,                0.96978,                0.79454,                 0.9227,                0.88042,                0.95651,                0.60926,                0.66528,                0.82879,                0.41181,                0.84699,                0.00307,                0.00307,                0.00307
                     72,                 0.8421,                0.97253,                0.50828,                0.88814,                0.92517,                0.89659,                0.97002,                0.79555,                0.92333,                0.88094,                0.95658,                0.60992,                0.66328,                0.82581,                0.41067,                0.84644,               0.002971,               0.002971,               0.002971
                     73,                0.83739,                0.96812,                0.50537,                0.88576,                0.92487,                0.89771,                0.97032,                 0.7969,                0.92281,                0.88286,                0.95708,                0.61075,                0.66132,                0.82292,                0.40944,                0.84581,               0.002872,               0.002872,               0.002872
                     74,                0.83194,                0.96328,                0.50249,                 0.8838,                 0.9267,                0.89726,                0.97053,                0.79766,                0.92367,                0.88269,                0.95732,                0.61125,                0.65955,                0.82075,                0.40802,                0.84534,               0.002773,               0.002773,               0.002773
                     75,                0.82836,                0.96161,                0.49806,                0.88357,                0.92616,                0.89799,                0.97081,                0.79865,                0.92313,                0.88278,                0.95722,                0.61138,                0.65783,                0.81917,                0.40676,                0.84492,               0.002674,               0.002674,               0.002674
                     76,                 0.8234,                0.95332,                0.49455,                0.88272,                 0.9269,                0.89811,                0.97105,                0.79961,                0.92349,                0.88314,                 0.9575,                0.61183,                 0.6561,                0.81737,                0.40546,                0.84441,               0.002575,               0.002575,               0.002575
                     77,                0.81586,                0.94338,                0.49321,                0.88088,                0.92665,                 0.8983,                0.97123,                0.80034,                0.92377,                 0.8821,                  0.957,                0.61145,                  0.655,                0.81585,                0.40463,                 0.8441,               0.002476,               0.002476,               0.002476
                     78,                0.81079,                0.93827,                0.48875,                0.87969,                0.92696,                 0.8991,                 0.9715,                0.80142,                0.92449,                0.88213,                 0.9572,                0.61145,                0.65298,                0.81304,                0.40304,                0.84363,               0.002377,               0.002377,               0.002377
                     79,                0.80863,                0.93452,                0.48807,                0.87917,                 0.9267,                0.89908,                0.97166,                0.80228,                0.92444,                0.88209,                0.95704,                 0.6117,                0.65094,                 0.8105,                0.40204,                0.84313,               0.002278,               0.002278,               0.002278
